sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,40,White,spouse present,High School,North America,Non-Government,Other,<=50K
Female,51,Other,spouse not present,Primary School,North America,Non-Government,Technical,<=50K
Female,40,Amer-Indian-Eskimo,spouse not present,Professional Education,North America,Government,Technical,<=50K
Female,26,White,spouse not present,High School,Asia,Non-Government,Nontechnical,>50K
Male,26,Asian-Pac-Islander,spouse present,Professional Education,Asia,Government,Other,<=50K
Male,40,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,31,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,63,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,20,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,36,White,spouse present,High School,South America,Non-Government,Nontechnical,<=50K
Male,40,Black,spouse present,Professional Education,North America,Government,Other,<=50K
Female,63,White,spouse not present,Undergraduate,North America,Unemployed,Other,<=50K
Male,51,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Female,51,Amer-Indian-Eskimo,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,26,Asian-Pac-Islander,spouse present,High School,Asia,Non-Government,Technical,<=50K
Male,51,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Female,20,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,63,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Female,51,Amer-Indian-Eskimo,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,26,Black,spouse not present,Undergraduate,Europe,Non-Government,Technical,<=50K
Male,51,White,spouse present,Primary School,North America,Government,Other,<=50K
Male,40,White,spouse present,High School,North America,Non-Government,Nontechnical,>50K
Female,40,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Female,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,26,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Male,20,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,26,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,26,Other,spouse present,High School,North America,Government,Other,<=50K
Male,51,White,spouse present,High School,South America,Non-Government,Technical,<=50K
Male,51,White,spouse present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,63,Other,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,63,White,spouse present,High School,North America,Non-Government,Other,<=50K
Female,63,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,40,Black,spouse present,Professional Education,North America,Government,Other,>50K
Male,26,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,26,White,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,51,Amer-Indian-Eskimo,spouse not present,Professional Education,North America,Government,Nontechnical,<=50K
Female,45,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Female,51,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,26,Asian-Pac-Islander,spouse not present,Undergraduate,North America,Government,Other,<=50K
Female,26,Asian-Pac-Islander,spouse not present,Graduate,Asia,Government,Technical,<=50K
Male,36,White,spouse present,Professional Education,Europe,Government,Nontechnical,<=50K
Male,51,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Female,51,White,spouse not present,Professional Education,South America,Non-Government,Nontechnical,<=50K
Female,40,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,45,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,40,Black,spouse not present,Graduate,North America,Government,Other,<=50K
Male,26,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Female,63,Other,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,31,White,spouse not present,High School,South America,Non-Government,Nontechnical,<=50K
Male,31,Asian-Pac-Islander,spouse not present,High School,Asia,Government,Other,>50K
Male,51,White,spouse present,High School,North America,Non-Government,Technical,>50K
Female,63,Other,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,20,Amer-Indian-Eskimo,spouse not present,High School,Africa,Non-Government,Other,<=50K
Male,45,White,spouse present,High School,North America,Non-Government,Other,<=50K
Female,31,Black,spouse not present,High School,Asia,Non-Government,Other,<=50K
Female,63,Amer-Indian-Eskimo,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Female,40,Asian-Pac-Islander,spouse not present,Professional Education,Asia,Non-Government,Nontechnical,>50K
Male,40,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Female,51,Amer-Indian-Eskimo,spouse not present,Professional Education,North America,Government,Nontechnical,<=50K
Female,40,Black,spouse not present,High School,North America,Government,Nontechnical,<=50K
Female,26,Asian-Pac-Islander,spouse not present,Graduate,Asia,Government,Technical,<=50K
Male,26,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,36,Black,spouse not present,Primary School,North America,Government,Other,<=50K
Male,36,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,40,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,36,White,spouse present,High School,Asia,Non-Government,Technical,>50K
Female,36,Asian-Pac-Islander,spouse not present,High School,Africa,Non-Government,Nontechnical,<=50K
Male,20,White,spouse present,High School,Europe,Non-Government,Technical,<=50K
Female,26,White,spouse not present,High School,Asia,Non-Government,Nontechnical,<=50K
Male,45,Asian-Pac-Islander,spouse present,Undergraduate,Asia,Government,Other,>50K
Male,31,White,spouse not present,High School,North America,Non-Government,Technical,>50K
Female,20,Black,spouse not present,Professional Education,North America,Government,Other,<=50K
Male,26,White,spouse present,Professional Education,South America,Non-Government,Nontechnical,<=50K
Female,26,White,spouse not present,Graduate,Europe,Government,Technical,<=50K
Female,63,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,26,White,spouse present,High School,Europe,Non-Government,Nontechnical,<=50K
Female,63,White,spouse not present,High School,North America,Non-Government,Nontechnical,>50K
Male,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,63,White,spouse present,High School,North America,Non-Government,Other,<=50K
Female,40,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,51,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,51,Other,spouse not present,Primary School,North America,Non-Government,Technical,<=50K
Male,51,White,spouse present,High School,North America,Non-Government,Other,>50K
Male,63,White,spouse present,Professional Education,North America,Government,Nontechnical,>50K
Male,40,Other,spouse present,Undergraduate,North America,Government,Other,>50K
Male,36,Asian-Pac-Islander,spouse present,Undergraduate,Africa,Non-Government,Technical,<=50K
Female,36,White,spouse not present,High School,South America,Non-Government,Nontechnical,<=50K
Male,31,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,40,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Female,20,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,51,Asian-Pac-Islander,spouse not present,Graduate,Asia,Government,Technical,<=50K
Male,31,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,26,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Female,45,Asian-Pac-Islander,spouse not present,Undergraduate,North America,Government,Technical,<=50K
Male,31,White,spouse present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,63,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,26,Asian-Pac-Islander,spouse present,High School,Asia,Non-Government,Technical,<=50K
Male,45,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Male,31,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,63,White,spouse present,High School,Europe,Non-Government,Technical,<=50K
Male,40,Other,spouse present,Primary School,South America,Non-Government,Other,<=50K
Male,36,White,spouse present,High School,North America,Non-Government,Other,<=50K
Female,45,Asian-Pac-Islander,spouse not present,Undergraduate,North America,Government,Technical,<=50K
Male,45,White,spouse present,Undergraduate,Europe,Government,Other,<=50K
Male,63,Asian-Pac-Islander,spouse present,Primary School,North America,Non-Government,Other,<=50K
Male,36,White,spouse present,High School,Asia,Non-Government,Technical,<=50K
Male,36,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,26,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,40,Amer-Indian-Eskimo,spouse not present,Undergraduate,North America,Government,Other,>50K
Male,36,Asian-Pac-Islander,spouse present,Primary School,Asia,Non-Government,Technical,<=50K
Male,20,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Female,26,White,spouse not present,Graduate,Europe,Government,Technical,<=50K
Female,51,White,spouse not present,Primary School,Europe,Non-Government,Other,<=50K
Male,40,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,51,White,spouse present,Professional Education,South America,Non-Government,Other,<=50K
Female,20,White,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,45,Black,spouse not present,Professional Education,North America,Government,Other,<=50K
Female,45,Asian-Pac-Islander,spouse not present,Professional Education,Asia,Non-Government,Nontechnical,<=50K
Female,63,Amer-Indian-Eskimo,spouse not present,Undergraduate,North America,Government,Technical,>50K
Female,63,Amer-Indian-Eskimo,spouse not present,Undergraduate,North America,Government,Technical,>50K
Male,31,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
